time,provider,network_type,accuracy,latitude,longitude,altitude,bearing,speed,travelstate
1364357187,network,wifi,27.0,43.7042169,-72.2858809,0.0,0.0,0.0,stationary,
1364358387,network,wifi,33.0,43.7041693,-72.2857864,0.0,0.0,0.0,moving,
1364359587,network,wifi,31.5,43.7041922,-72.285832,0.0,0.0,0.0,stationary,
1364360787,network,wifi,25.0,43.7041997,-72.2858414,0.0,0.0,0.0,stationary,
1364361987,network,wifi,22.0,43.7041959,-72.2858417,0.0,0.0,0.0,moving,
1364363187,network,wifi,31.5,43.7041747,-72.2858045,0.0,0.0,0.0,moving,
1364364388,network,wifi,27.0,43.7041386,-72.2857062,0.0,0.0,0.0,moving,
1364365587,network,wifi,28.0,43.7041306,-72.2857632,0.0,0.0,0.0,stationary,
1364366787,network,wifi,27.0,43.7041648,-72.2857784,0.0,0.0,0.0,stationary,
1364367987,network,wifi,31.5,43.7041745,-72.2858065,0.0,0.0,0.0,moving,
1364369187,network,wifi,22.421,43.7041737,-72.2857923,0.0,0.0,0.0,stationary,
1364370387,network,wifi,20.0,43.7041988,-72.2858466,0.0,0.0,0.0,stationary,
1364371587,network,wifi,24.0,43.7042121,-72.2858551,0.0,0.0,0.0,stationary,
1364372787,network,wifi,24.0,43.7041797,-72.2858023,0.0,0.0,0.0,stationary,
1364373987,network,wifi,24.0,43.704219,-72.2858762,0.0,0.0,0.0,stationary,
1364375187,network,wifi,26.0,43.7042172,-72.2857975,0.0,0.0,0.0,stationary,
1364376387,network,wifi,30.0,43.7041773,-72.28582,0.0,0.0,0.0,moving,
1364377587,network,wifi,25.128,43.7041841,-72.2858304,0.0,0.0,0.0,stationary,
1364378787,network,wifi,28.0,43.704126,-72.2857385,0.0,0.0,0.0,stationary,
1364379987,network,wifi,26.465,43.7041729,-72.2857644,0.0,0.0,0.0,stationary,
1364381187,network,wifi,25.0,43.7041311,-72.2857445,0.0,0.0,0.0,stationary,
1364382388,gps,,18.0,43.70421582,-72.2867684,142.199996948,279.0,2.0615528,,
1364383587,network,wifi,21.23,43.702767,-72.2899483,0.0,0.0,0.0,moving,
1364384787,network,wifi,23.0,43.7027758,-72.2900359,0.0,0.0,0.0,moving,
1364385987,network,wifi,20.0,43.7027503,-72.289928,0.0,0.0,0.0,stationary,
1364387187,network,wifi,20.0,43.7027184,-72.2899678,0.0,0.0,0.0,stationary,
1364388387,network,wifi,20.0,43.7027458,-72.2899573,0.0,0.0,0.0,stationary,
1364389587,network,wifi,20.0,43.7027445,-72.289974,0.0,0.0,0.0,stationary,
1364390787,network,wifi,24.0,43.7027422,-72.289996,0.0,0.0,0.0,stationary,
1364391989,network,wifi,136.556,43.7047839,-72.2882764,0.0,0.0,0.0,moving,
1364393188,network,wifi,65.867,43.7089738,-72.2840368,0.0,0.0,0.0,moving,
1364394387,network,wifi,44.826,43.7088934,-72.2839796,0.0,0.0,0.0,moving,
1364395587,network,wifi,46.062,43.7089439,-72.2839748,0.0,0.0,0.0,stationary,
1364396787,network,wifi,35.813,43.7087989,-72.2839709,0.0,0.0,0.0,stationary,
1364397987,gps,,13.0,43.70292209,-72.28491126,93.4000015259,58.5,4.366062,,
1364399187,network,wifi,47.469,43.7028177,-72.2842163,0.0,0.0,0.0,moving,
1364400340,gps,,12.0,43.70405666,-72.28561846,142.899993896,0.0,0.0,,
1364401587,network,wifi,22.0,43.7041936,-72.2858722,0.0,0.0,0.0,moving,
1364402787,network,wifi,24.0,43.702864,-72.2898933,0.0,0.0,0.0,moving,
1364403988,network,wifi,35.783,43.7031412,-72.2897663,0.0,0.0,0.0,moving,
1364405187,network,wifi,35.694,43.7031421,-72.2897678,0.0,0.0,0.0,moving,
1364406387,network,wifi,34.037,43.7031534,-72.2897701,0.0,0.0,0.0,stationary,
1364407587,network,wifi,35.387,43.7031381,-72.2897851,0.0,0.0,0.0,stationary,
1364408787,network,wifi,20.0,43.702791,-72.2900026,0.0,0.0,0.0,moving,
1364409987,network,wifi,20.0,43.7041916,-72.2858485,0.0,0.0,0.0,moving,
1364411188,network,wifi,20.0,43.7053682,-72.2973021,0.0,0.0,0.0,moving,
1364412387,network,wifi,20.0,43.7053929,-72.2972774,0.0,0.0,0.0,moving,
1364413587,network,wifi,30.0,43.7053276,-72.2971972,0.0,0.0,0.0,stationary,
1364414787,network,wifi,30.0,43.7053507,-72.297221,0.0,0.0,0.0,stationary,
1364415987,network,wifi,20.0,43.70539,-72.2973046,0.0,0.0,0.0,stationary,
1364417187,network,wifi,20.0,43.7053774,-72.2972718,0.0,0.0,0.0,stationary,
1364418387,network,wifi,30.0,43.7053596,-72.2972344,0.0,0.0,0.0,stationary,
1364419587,network,wifi,20.0,43.705377,-72.2972956,0.0,0.0,0.0,stationary,
1364419927,gps,,8.0,43.70512007,-72.29805185,99.3000030518,0.0,0.0,,
1364421988,network,wifi,127.454,43.7016637,-72.2880952,0.0,0.0,0.0,moving,
1364423187,network,wifi,25.0,43.7041903,-72.2858508,0.0,0.0,0.0,moving,
1364424387,network,wifi,25.0,43.7041877,-72.2858544,0.0,0.0,0.0,moving,
1364425588,network,wifi,34.5,43.7041742,-72.2858345,0.0,0.0,0.0,moving,
1364426787,network,wifi,24.0,43.70419,-72.2858516,0.0,0.0,0.0,moving,
1364427987,network,wifi,24.0,43.7041917,-72.2858541,0.0,0.0,0.0,stationary,
1364429187,network,wifi,25.0,43.7041822,-72.2858465,0.0,0.0,0.0,stationary,
