time,provider,network_type,accuracy,latitude,longitude,altitude,bearing,speed,travelstate
1364414218,network,wifi,20.0,43.7065903,-72.2870373,0.0,0.0,0.0,moving,
1364415417,network,wifi,21.0,43.7071042,-72.2889001,0.0,0.0,0.0,moving,
1364416617,network,wifi,23.0,43.7071429,-72.288947,0.0,0.0,0.0,moving,
1364417817,network,wifi,25.0,43.7071177,-72.2889394,0.0,0.0,0.0,moving,
1364419018,network,wifi,26.0,43.703033,-72.2906888,0.0,0.0,0.0,moving,
1364420217,network,wifi,24.0,43.7030464,-72.2905747,0.0,0.0,0.0,moving,
1364421417,network,wifi,25.0,43.703068,-72.2906009,0.0,0.0,0.0,stationary,
1364422617,network,wifi,37.5,43.7071549,-72.288857,0.0,0.0,0.0,moving,
1364423817,network,wifi,29.0,43.7071167,-72.2889397,0.0,0.0,0.0,stationary,
1364425017,network,wifi,26.109,43.7071488,-72.2889646,0.0,0.0,0.0,moving,
1364426217,network,wifi,25.79,43.7071761,-72.288912,0.0,0.0,0.0,stationary,
1364427417,network,wifi,39.0,43.7072081,-72.2888964,0.0,0.0,0.0,stationary,
1364428617,network,wifi,44.257,43.707146,-72.288889,0.0,0.0,0.0,stationary,
1364429817,network,wifi,30.0,43.7071394,-72.2888829,0.0,0.0,0.0,stationary,
1364431017,network,wifi,26.492,43.7071546,-72.288938,0.0,0.0,0.0,stationary,
1364432217,network,wifi,30.714,43.7071394,-72.2888572,0.0,0.0,0.0,moving,
1364433417,network,wifi,26.338,43.7071535,-72.2889452,0.0,0.0,0.0,stationary,
1364434617,network,wifi,24.255,43.7071798,-72.2889451,0.0,0.0,0.0,stationary,
1364435817,network,wifi,35.0,43.7071464,-72.2889619,0.0,0.0,0.0,stationary,
1364437017,network,wifi,27.166,43.7071514,-72.2889259,0.0,0.0,0.0,stationary,
1364438217,network,wifi,23.034,43.7071814,-72.2889774,0.0,0.0,0.0,stationary,
1364439417,network,wifi,30.0,43.7071643,-72.2889083,0.0,0.0,0.0,stationary,
1364440617,network,wifi,24.521,43.7071846,-72.2889281,0.0,0.0,0.0,stationary,
1364441817,network,wifi,26.771,43.7071821,-72.2888781,0.0,0.0,0.0,stationary,
1364443017,network,wifi,23.67,43.707193,-72.2889337,0.0,0.0,0.0,stationary,
1364444217,network,wifi,33.0,43.7071397,-72.2889034,0.0,0.0,0.0,stationary,
1364445406,gps,,32.0,43.7069415167,-72.28899695,185.3,153.2,0.0,,
1364446617,network,wifi,26.072,43.707196,-72.2888724,0.0,0.0,0.0,stationary,
1364447817,network,wifi,44.649,43.707197,-72.2889274,0.0,0.0,0.0,stationary,
1364449017,network,wifi,44.016,43.7071875,-72.288912,0.0,0.0,0.0,stationary,
1364450217,network,wifi,44.799,43.7071846,-72.288923,0.0,0.0,0.0,stationary,
1364451417,network,wifi,25.818,43.7071711,-72.288921,0.0,0.0,0.0,stationary,
1364452604,gps,,12.0,43.7072270167,-72.2889967,179.3,0.0,0.0,,
1364453817,network,wifi,27.562,43.7071665,-72.2888857,0.0,0.0,0.0,stationary,
1364455017,network,wifi,26.0,43.7071954,-72.2889987,0.0,0.0,0.0,stationary,
1364456217,network,wifi,27.152,43.7071684,-72.2888923,0.0,0.0,0.0,stationary,
1364457405,gps,,16.0,43.7072761,-72.28900235,183.6,331.0,0.0,,
1364458617,network,wifi,30.0,43.7071207,-72.2888338,0.0,0.0,0.0,moving,
1364459817,network,wifi,26.0,43.7071806,-72.2889941,0.0,0.0,0.0,stationary,
