time,provider,network_type,accuracy,latitude,longitude,altitude,bearing,speed,travelstate
1364357405,network,wifi,25.605,43.7066189,-72.2869852,0.0,0.0,0.0,stationary,
1364358605,network,wifi,23.036,43.7066022,-72.2870289,0.0,0.0,0.0,stationary,
1364359805,network,wifi,22.667,43.7066001,-72.2870353,0.0,0.0,0.0,stationary,
1364361005,network,wifi,23.05,43.7065921,-72.2870324,0.0,0.0,0.0,stationary,
1364362205,network,wifi,23.969,43.7065994,-72.2870155,0.0,0.0,0.0,stationary,
1364363405,network,wifi,24.754,43.7066084,-72.2870007,0.0,0.0,0.0,stationary,
1364364605,network,wifi,25.633,43.7066096,-72.286987,0.0,0.0,0.0,stationary,
1364365805,network,wifi,24.168,43.7066048,-72.2870107,0.0,0.0,0.0,stationary,
1364367005,network,wifi,22.045,43.7066041,-72.2870435,0.0,0.0,0.0,stationary,
1364368205,network,wifi,23.596,43.7066129,-72.2870171,0.0,0.0,0.0,stationary,
1364369405,network,wifi,26.648,43.7065981,-72.2869748,0.0,0.0,0.0,stationary,
1364370605,network,wifi,25.126,43.70661,-72.2869946,0.0,0.0,0.0,stationary,
1364371805,network,wifi,24.176,43.7066102,-72.287009,0.0,0.0,0.0,stationary,
1364373005,network,wifi,23.831,43.7066218,-72.2870114,0.0,0.0,0.0,stationary,
1364374205,network,wifi,24.076,43.7066029,-72.2870127,0.0,0.0,0.0,stationary,
1364375405,network,wifi,25.138,43.7066108,-72.2869942,0.0,0.0,0.0,stationary,
1364376605,network,wifi,25.55,43.7066146,-72.286987,0.0,0.0,0.0,stationary,
1364377805,network,wifi,24.809,43.7065855,-72.2870077,0.0,0.0,0.0,stationary,
1364379005,network,wifi,24.267,43.7065919,-72.2870136,0.0,0.0,0.0,stationary,
1364380205,network,wifi,26.343,43.7065903,-72.2869821,0.0,0.0,0.0,stationary,
1364381405,network,wifi,24.981,43.7065931,-72.2870021,0.0,0.0,0.0,stationary,
1364382605,network,wifi,25.616,43.7065898,-72.2869935,0.0,0.0,0.0,stationary,
1364383805,network,wifi,24.799,43.7066081,-72.2870001,0.0,0.0,0.0,stationary,
1364385005,network,wifi,24.323,43.7065958,-72.2870113,0.0,0.0,0.0,stationary,
1364386205,network,wifi,24.311,43.7065963,-72.2870113,0.0,0.0,0.0,stationary,
1364387405,network,wifi,24.214,43.7065886,-72.2870157,0.0,0.0,0.0,stationary,
1364388605,network,wifi,24.214,43.7065886,-72.2870157,0.0,0.0,0.0,stationary,
1364389805,network,wifi,23.531,43.7066056,-72.2870202,0.0,0.0,0.0,stationary,
1364391005,network,wifi,24.789,43.706612,-72.2869992,0.0,0.0,0.0,stationary,
1364392205,network,wifi,23.655,43.7066221,-72.287014,0.0,0.0,0.0,stationary,
1364393405,network,wifi,24.809,43.7065898,-72.287006,0.0,0.0,0.0,stationary,
