time,provider,network_type,accuracy,latitude,longitude,altitude,bearing,speed,travelstate
1364356949,network,wifi,20.0,43.7055163,-72.2886959,0.0,0.0,0.0,stationary,
1364358149,network,wifi,24.174,43.705509,-72.2886967,0.0,0.0,0.0,stationary,
1364359349,network,wifi,22.564,43.7054668,-72.2886821,0.0,0.0,0.0,stationary,
1364360550,network,wifi,72.892,43.7055616,-72.2916992,0.0,0.0,0.0,moving,
1364361749,network,cell,2486.0,43.7008133,-72.2940373,0.0,0.0,0.0,moving,
1364362949,network,wifi,76.58,43.7055718,-72.2907742,0.0,0.0,0.0,moving,
1364364149,network,wifi,20.0,43.7055686,-72.2907862,0.0,0.0,0.0,stationary,
1364365349,network,wifi,66.991,43.7055553,-72.2908068,0.0,0.0,0.0,stationary,
1364366549,network,wifi,76.543,43.7055659,-72.2907747,0.0,0.0,0.0,stationary,
1364367749,network,wifi,20.0,43.7055683,-72.2907814,0.0,0.0,0.0,stationary,
1364368949,network,wifi,20.0,43.7055594,-72.2907965,0.0,0.0,0.0,stationary,
1364370149,network,wifi,71.723,43.7055533,-72.2908468,0.0,0.0,0.0,stationary,
1364371349,network,wifi,76.181,43.7055654,-72.2907801,0.0,0.0,0.0,stationary,
1364372549,network,wifi,72.952,43.7055559,-72.2908284,0.0,0.0,0.0,stationary,
1364373749,network,wifi,20.0,43.7055682,-72.2907935,0.0,0.0,0.0,stationary,
1364374949,network,wifi,64.972,43.7055527,-72.2908368,0.0,0.0,0.0,stationary,
1364376149,network,wifi,64.633,43.7055501,-72.2908413,0.0,0.0,0.0,stationary,
1364377349,network,wifi,73.531,43.705561,-72.2908197,0.0,0.0,0.0,stationary,
1364378549,network,wifi,73.565,43.7055592,-72.2908192,0.0,0.0,0.0,stationary,
1364379749,network,wifi,73.886,43.7055603,-72.2908144,0.0,0.0,0.0,stationary,
1364380949,network,wifi,73.751,43.7055628,-72.2908164,0.0,0.0,0.0,stationary,
1364382149,network,wifi,62.371,43.7055334,-72.2908716,0.0,0.0,0.0,stationary,
1364383349,network,wifi,21.0,43.7055692,-72.290789,0.0,0.0,0.0,stationary,
1364384549,network,wifi,21.0,43.7055635,-72.2908005,0.0,0.0,0.0,stationary,
1364385749,network,wifi,23.0,43.7055624,-72.2908047,0.0,0.0,0.0,stationary,
1364386949,network,wifi,25.0,43.7055404,-72.2908296,0.0,0.0,0.0,stationary,
1364388149,network,wifi,27.0,43.7055558,-72.2908348,0.0,0.0,0.0,stationary,
1364389349,network,wifi,20.0,43.7055762,-72.2907891,0.0,0.0,0.0,stationary,
1364390549,network,wifi,20.0,43.7033008,-72.2866994,0.0,0.0,0.0,moving,
1364391750,network,wifi,49.683,43.706018,-72.2868259,0.0,0.0,0.0,moving,
1364392950,network,wifi,83.18,43.7087163,-72.2837003,0.0,0.0,0.0,moving,
1364394149,network,wifi,44.393,43.7086896,-72.2836672,0.0,0.0,0.0,moving,
1364395349,network,wifi,34.71,43.708734,-72.2838299,0.0,0.0,0.0,stationary,
1364396549,network,wifi,38.384,43.7086739,-72.2836543,0.0,0.0,0.0,stationary,
1364397751,network,wifi,31.969,43.706839,-72.2870095,0.0,0.0,0.0,moving,
1364398949,network,wifi,27.0,43.7067616,-72.2870994,0.0,0.0,0.0,moving,
1364400149,network,wifi,33.787,43.7067797,-72.2870053,0.0,0.0,0.0,stationary,
1364401349,network,wifi,21.533,43.7067973,-72.2870073,0.0,0.0,0.0,stationary,
1364402549,network,cell,2485.0,43.7008178,-72.2940273,0.0,0.0,0.0,moving,
1364403755,gps,,13.0,43.70227295,-72.28989198,144.800003052,15.0,0.75,,
1364404950,network,wifi,20.0,43.7028226,-72.2898571,0.0,0.0,0.0,moving,
1364406086,gps,,3.0,43.70503991,-72.2906702,146.5,329.9,1.0,,
1364407349,network,wifi,24.0,43.705539,-72.2908209,0.0,0.0,0.0,moving,
1364408549,network,wifi,24.0,43.7055619,-72.2907991,0.0,0.0,0.0,stationary,
1364409750,network,wifi,24.0,43.7053196,-72.2910281,0.0,0.0,0.0,moving,
1364410950,network,wifi,22.239,43.7054187,-72.2910131,0.0,0.0,0.0,moving,
1364412149,network,wifi,23.0,43.7055361,-72.2907869,0.0,0.0,0.0,moving,
1364413349,network,wifi,22.0,43.7055965,-72.2907341,0.0,0.0,0.0,moving,
1364414549,network,wifi,23.0,43.7055392,-72.2907526,0.0,0.0,0.0,stationary,
1364415749,network,wifi,24.0,43.7055147,-72.2908029,0.0,0.0,0.0,stationary,
1364416949,network,wifi,24.0,43.7055773,-72.2907914,0.0,0.0,0.0,stationary,
1364418149,network,wifi,23.0,43.7055517,-72.2907956,0.0,0.0,0.0,stationary,
1364419349,network,wifi,24.0,43.7055815,-72.2907168,0.0,0.0,0.0,stationary,
1364420549,network,wifi,27.967,43.7054296,-72.2909194,0.0,0.0,0.0,stationary,
1364421749,network,wifi,20.0,43.7055574,-72.2907803,0.0,0.0,0.0,stationary,
1364422949,network,wifi,26.0,43.705512,-72.2907884,0.0,0.0,0.0,stationary,
