time,provider,network_type,accuracy,latitude,longitude,altitude,bearing,speed,travelstate
1364357312,network,wifi,144.67,43.7071543,-72.2888633,0.0,0.0,0.0,stationary,
1364358512,network,wifi,28.512,43.707164,-72.2888674,0.0,0.0,0.0,stationary,
1364359712,network,wifi,26.017,43.7071612,-72.2889366,0.0,0.0,0.0,stationary,
1364360916,gps,,11.0,43.70722339,-72.28873765,168.399993896,258.9,0.25,,
1364362113,network,wifi,36.734,43.7071711,-72.2886923,0.0,0.0,0.0,stationary,
1364363312,network,wifi,35.837,43.7071639,-72.2887407,0.0,0.0,0.0,stationary,
1364364512,network,wifi,39.34,43.7071643,-72.2888192,0.0,0.0,0.0,stationary,
1364365715,gps,,13.0,43.70702993,-72.28866663,167.300003052,0.0,0.0,,
1364366912,network,wifi,135.275,43.7071583,-72.2887209,0.0,0.0,0.0,stationary,
1364368112,network,wifi,34.721,43.7071743,-72.2887893,0.0,0.0,0.0,stationary,
1364369312,network,wifi,35.971,43.7071705,-72.2887482,0.0,0.0,0.0,stationary,
1364370512,network,wifi,35.354,43.7071711,-72.2887381,0.0,0.0,0.0,stationary,
1364371712,network,wifi,137.872,43.7071418,-72.2887555,0.0,0.0,0.0,stationary,
1364372912,network,wifi,40.023,43.7071592,-72.2888085,0.0,0.0,0.0,stationary,
1364374112,network,wifi,139.928,43.7071687,-72.2887951,0.0,0.0,0.0,stationary,
1364375312,network,wifi,33.982,43.7071648,-72.2887091,0.0,0.0,0.0,stationary,
1364376512,network,wifi,32.561,43.7071529,-72.2886725,0.0,0.0,0.0,stationary,
1364377712,network,wifi,141.152,43.7071551,-72.2888098,0.0,0.0,0.0,stationary,
1364378912,network,wifi,138.866,43.7071536,-72.2887744,0.0,0.0,0.0,stationary,
1364380114,gps,,18.0,43.70727826,-72.2887014,163.600006104,0.0,0.0,,
1364381312,network,wifi,37.607,43.7071435,-72.2888171,0.0,0.0,0.0,stationary,
1364382514,gps,,16.0,43.7072146,-72.28874896,160.899993896,320.2,0.5,,
1364383714,gps,,17.0,43.70719267,-72.28875196,159.600006104,0.0,0.0,,
1364384912,network,wifi,141.901,43.7071799,-72.2888283,0.0,0.0,0.0,stationary,
1364386114,gps,,15.0,43.70704889,-72.28891638,158.800003052,320.2,0.25,,
1364387312,network,wifi,37.572,43.7071625,-72.2887694,0.0,0.0,0.0,stationary,
1364388512,network,wifi,39.577,43.7071611,-72.2888208,0.0,0.0,0.0,stationary,
1364389714,network,wifi,34.139,43.7058374,-72.2887686,0.0,0.0,0.0,moving,
1364390912,network,wifi,21.796,43.7058595,-72.2887566,0.0,0.0,0.0,moving,
1364392112,network,wifi,21.382,43.705896,-72.2887462,0.0,0.0,0.0,stationary,
1364393313,network,wifi,47.341,43.7086553,-72.2836511,0.0,0.0,0.0,moving,
1364394512,network,wifi,39.845,43.7086723,-72.2836161,0.0,0.0,0.0,moving,
1364395712,network,wifi,37.8,43.7086914,-72.2836315,0.0,0.0,0.0,,
1364396913,network,wifi,38.13,43.7086865,-72.2836329,0.0,0.0,0.0,stationary,
1364398089,network,wifi,25.262,43.7071694,-72.2889397,0.0,0.0,0.0,moving,
1364399312,network,wifi,30.227,43.7070983,-72.2889698,0.0,0.0,0.0,moving,
1364400512,network,wifi,91.73,43.7071488,-72.2889521,0.0,0.0,0.0,stationary,
1364401714,network,wifi,43.379,43.7052614,-72.2881424,0.0,0.0,0.0,moving,
1364402913,network,wifi,63.942,43.7039682,-72.2871384,0.0,0.0,0.0,moving,
1364404112,network,wifi,62.558,43.7039975,-72.2870347,0.0,0.0,0.0,moving,
1364405312,network,wifi,62.411,43.7039776,-72.2870775,0.0,0.0,0.0,stationary,
1364406513,network,wifi,20.0,43.7028409,-72.289963,0.0,0.0,0.0,moving,
1364407712,network,wifi,20.0,43.7028571,-72.2900252,0.0,0.0,0.0,moving,
