time,provider,network_type,accuracy,latitude,longitude,altitude,bearing,speed,travelstate
1364409865,network,wifi,24.155,43.7066051,-72.2870108,0.0,0.0,0.0,,
1364411646,network,wifi,23.006,43.7066009,-72.2870298,0.0,0.0,0.0,,
1364760445,network,wifi,26.273,43.7065987,-72.2870497,0.0,0.0,0.0,,
1364761645,network,wifi,24.383,43.7065992,-72.2870092,0.0,0.0,0.0,stationary,
1364762845,network,wifi,24.09,43.7066156,-72.2870089,0.0,0.0,0.0,stationary,
1364764045,network,wifi,24.703,43.7065899,-72.2870076,0.0,0.0,0.0,stationary,
1364765245,network,wifi,34.167,43.7066025,-72.286994,0.0,0.0,0.0,stationary,
1364766445,network,wifi,23.657,43.7066065,-72.287018,0.0,0.0,0.0,stationary,
1364767645,network,wifi,25.176,43.7066021,-72.2869961,0.0,0.0,0.0,stationary,
1364768845,network,wifi,23.9,43.7066088,-72.2870136,0.0,0.0,0.0,stationary,
1364770045,network,wifi,23.343,43.7066109,-72.2870215,0.0,0.0,0.0,stationary,
1364771245,network,wifi,23.863,43.7066127,-72.2870131,0.0,0.0,0.0,stationary,
1364772445,network,wifi,23.877,43.7066108,-72.2870134,0.0,0.0,0.0,stationary,
1364773645,network,wifi,22.786,43.706602,-72.287041,0.0,0.0,0.0,stationary,
1364774845,network,wifi,23.968,43.706602,-72.2870599,0.0,0.0,0.0,stationary,
1364776045,network,wifi,24.685,43.7066041,-72.287003,0.0,0.0,0.0,stationary,
1364777246,network,wifi,23.551,43.7066096,-72.2870187,0.0,0.0,0.0,stationary,
1364778445,network,wifi,24.683,43.7066132,-72.2870005,0.0,0.0,0.0,stationary,
1364779645,network,wifi,33.357,43.7065868,-72.2869973,0.0,0.0,0.0,stationary,
1364780845,network,wifi,23.967,43.7066109,-72.287012,0.0,0.0,0.0,stationary,
1364782045,network,wifi,23.967,43.7066109,-72.287012,0.0,0.0,0.0,stationary,
1364783245,network,wifi,24.034,43.7066119,-72.2870107,0.0,0.0,0.0,stationary,
1364784445,network,wifi,23.515,43.7066134,-72.2870182,0.0,0.0,0.0,stationary,
1364785645,network,wifi,26.56,43.7066009,-72.2869753,0.0,0.0,0.0,stationary,
1364786845,network,wifi,23.938,43.7066096,-72.2870128,0.0,0.0,0.0,stationary,
1364788045,network,wifi,24.501,43.7066212,-72.2870014,0.0,0.0,0.0,stationary,
1364789245,network,wifi,22.596,43.7066171,-72.2870312,0.0,0.0,0.0,stationary,
1364790445,network,wifi,25.857,43.7066017,-72.2869858,0.0,0.0,0.0,stationary,
1364791645,network,wifi,21.936,43.7066161,-72.2870415,0.0,0.0,0.0,stationary,
1364792845,network,wifi,27.034,43.7065965,-72.2869694,0.0,0.0,0.0,stationary,
1364794045,network,wifi,23.145,43.7066158,-72.2870232,0.0,0.0,0.0,stationary,
1364795245,network,wifi,24.858,43.7066092,-72.2869989,0.0,0.0,0.0,stationary,
1364796445,network,wifi,26.8,43.7066024,-72.2869712,0.0,0.0,0.0,stationary,
1364797645,network,wifi,26.146,43.7066051,-72.2869804,0.0,0.0,0.0,stationary,
1364798845,network,wifi,23.11,43.7066206,-72.287055,0.0,0.0,0.0,stationary,
1364800045,network,wifi,25.242,43.706609,-72.2869931,0.0,0.0,0.0,stationary,
1364801245,network,wifi,26.412,43.7065988,-72.2869782,0.0,0.0,0.0,stationary,
1364802445,network,wifi,23.35,43.7066068,-72.2870226,0.0,0.0,0.0,stationary,
1364803645,network,wifi,25.156,43.7066083,-72.2869946,0.0,0.0,0.0,stationary,
1364804845,network,wifi,23.062,43.7066119,-72.2870255,0.0,0.0,0.0,stationary,
1364806045,network,wifi,25.112,43.7065977,-72.2869985,0.0,0.0,0.0,stationary,
1364807245,network,wifi,26.383,43.7066088,-72.2869758,0.0,0.0,0.0,stationary,
1364808445,network,wifi,24.038,43.7066212,-72.2870084,0.0,0.0,0.0,stationary,
1364809645,network,wifi,22.884,43.7066134,-72.2870278,0.0,0.0,0.0,stationary,
1364810845,network,wifi,34.559,43.7066043,-72.2869997,0.0,0.0,0.0,stationary,
1364812045,network,wifi,35.172,43.7066172,-72.2869953,0.0,0.0,0.0,stationary,
1364813245,network,wifi,22.636,43.7066137,-72.2870315,0.0,0.0,0.0,stationary,
1364814445,network,wifi,30.991,43.7065833,-72.2869538,0.0,0.0,0.0,stationary,
1364815645,network,wifi,22.615,43.7066141,-72.2870317,0.0,0.0,0.0,stationary,
1364816845,network,wifi,23.624,43.7066085,-72.2870179,0.0,0.0,0.0,stationary,
1364818045,network,wifi,26.961,43.7065959,-72.2869707,0.0,0.0,0.0,stationary,
1364819245,network,wifi,24.618,43.7066101,-72.2870023,0.0,0.0,0.0,stationary,
1364820445,network,wifi,23.942,43.7065963,-72.287017,0.0,0.0,0.0,stationary,
1364821645,network,wifi,25.866,43.706599,-72.2869865,0.0,0.0,0.0,stationary,
1364822845,network,wifi,26.974,43.7066105,-72.2869664,0.0,0.0,0.0,stationary,
1364824045,network,wifi,23.787,43.7066072,-72.2870158,0.0,0.0,0.0,stationary,
1364825245,network,wifi,24.234,43.7066061,-72.2870093,0.0,0.0,0.0,stationary,
1364826445,network,wifi,24.532,43.7066066,-72.2870046,0.0,0.0,0.0,stationary,
1364827645,network,wifi,35.146,43.7066139,-72.2869992,0.0,0.0,0.0,stationary,
1364828845,network,wifi,24.327,43.7066177,-72.2870048,0.0,0.0,0.0,stationary,
1364830045,network,wifi,35.845,43.7066067,-72.2870226,0.0,0.0,0.0,stationary,
1364831245,network,wifi,32.503,43.7065966,-72.2869674,0.0,0.0,0.0,stationary,
1364832445,network,wifi,24.953,43.706599,-72.2870005,0.0,0.0,0.0,stationary,
1364833645,network,wifi,24.624,43.7066007,-72.287005,0.0,0.0,0.0,stationary,
1364834845,network,wifi,26.529,43.7065857,-72.2869809,0.0,0.0,0.0,stationary,
1364836045,network,wifi,25.414,43.7065852,-72.2869984,0.0,0.0,0.0,stationary,
1364837245,network,wifi,25.785,43.7065985,-72.2869879,0.0,0.0,0.0,stationary,
1364838445,network,wifi,27.108,43.7065886,-72.2869709,0.0,0.0,0.0,stationary,
1364839645,network,wifi,27.533,43.7065832,-72.2869663,0.0,0.0,0.0,stationary,
1364840845,network,wifi,33.077,43.7065865,-72.2869921,0.0,0.0,0.0,stationary,
1364842045,network,wifi,26.218,43.7066073,-72.2869787,0.0,0.0,0.0,stationary,
1364843245,network,wifi,25.027,43.7066037,-72.2869979,0.0,0.0,0.0,stationary,
1364844445,network,wifi,26.163,43.7066082,-72.2869793,0.0,0.0,0.0,stationary,
1364845645,network,wifi,23.783,43.7065879,-72.2870227,0.0,0.0,0.0,stationary,
1364846845,network,wifi,23.794,43.7065877,-72.2870226,0.0,0.0,0.0,stationary,
1364848045,network,wifi,32.627,43.7066001,-72.2869652,0.0,0.0,0.0,stationary,
1364849245,network,wifi,34.355,43.7066019,-72.2869986,0.0,0.0,0.0,stationary,
1364850445,network,wifi,33.376,43.7065991,-72.2869822,0.0,0.0,0.0,stationary,
